Total unique instances: 7745
Total mastodon.social instances: 137991
Total non-mastodon.social instances: 98486

Instance Rankings:
pe.ertu.be: 38
norden.social: 38
social.mikutter.hachune.net: 37
uwu.social: 37
ika.queloud.net: 37
toot.turbo.chat: 37
meta.masto.host: 37
xy.ag: 37
phpc.social: 36
mastodon.cisti.org: 36
101010.pl: 36
udongein.xyz: 36
social.bau-ha.us: 36
www.bookbeezhive.com: 36
vkl.world: 36
is.nota.live: 35
mastodon.ninetailed.uk: 35
share.tube: 35
mexicosocial.mx: 35
godforsaken.website: 34
darksocial.party: 34
piaille.fr: 34
wxw.moe: 34
freedom.horse: 33
gamemaking.social: 33
distrotoot.com: 33
fsmi.social: 33
syamutodon.xyz: 33
sushi.ski: 33
toot.aquilenet.fr: 32
gnusocial.net: 32
a.gup.pe: 32
misskey.m544.net: 32
mastodon.at: 32
social.wiuwiu.de: 32
pettingzoo.co: 32
quitter.es: 31
xyag.space: 31
mastodon.fun: 31
mmorpg.social: 31
x0r.be: 31
tilvids.com: 31
mastodon.pirateparty.be: 31
bookwitty.social: 31
cryptids.online: 31
mastodon.juggler.jp: 31
outerheaven.club: 31
letsalllovela.in: 31
gulp.cafe: 31
bgme.me: 30
campaign.openworlds.info: 30
mastodon.hk: 30
soc.phreedom.club: 30
quitter.is: 29
awoo.pub: 29
hulvr.com: 29
abyss.fun: 29
mastodon.sergal.org: 29
calculate.social: 29
pleasehug.me: 29
bangdream.space: 29
phreedom.tk: 29
skaia.space: 29
mograph.social: 28
welovela.in: 28
pix.diaspodon.fr: 28
twit.social: 28
moe.cat: 28
kirishima.cloud: 28
i.write.codethat.sucks: 28
animalliberation.social: 28
mastodon.design: 28
vipgirlfriend.xxx: 28
oldbytes.space: 27
masto.io: 27
wetdry.world: 27
smusi.ch: 27
mstdn.mx: 27
social.undernet.uy: 26
mastodontech.de: 26
bonn.social: 26
precure.ml: 26
comicscamp.club: 26
otogamer.me: 26
gingadon.com: 26
handon.club: 26
mefi.social: 26
squeet.me: 26
gnusocial.no: 25
mastodon.land: 25
quitter.im: 25
social.homunyan.com: 25
fediverse.network: 25
mastodon.acc.sunet.se: 25
mastodon.nz: 25
rafting.io: 25
natter.wtf: 25
memetastic.space: 25
mastodon.utwente.nl: 25
lgbtqia.is: 25
egirls.gay: 25
mstdn.yjsnpi.nu: 25
social.inex.rocks: 25
mastodon.oeru.org: 25
peertube.servebeer.com: 25
quietplace.xyz: 25
social.kyiv.dcomm.net.ua: 25
mstdn.netwhood.online: 25
bitcointv.com: 25
toot.site: 24
aana.site: 24
creativity.cafe: 24
social.lol: 24
cathoderay.tube: 24
mastodon.to: 24
the.resize.club: 24
tablegame.mstdn.cloud: 24
tusk.social: 23
bne.social: 23
glasgow.social: 23
mammouth.cafe: 23
mastodon.nu: 23
